Beetle,Rf_TOT,Rf_NIR,Rf_VIS,Td_TOT,Td_NIR,Td_VIS,Tv_TOT,Tv_NIR,Tv_VIS,Ab_TOT,Ab_NIR,Ab_VIS,side,size,DT5_TOT,DT5_NIR,DT5_VIS,maxHRTOT,maxHRNIR,maxHRVIS
anom1,16.00721194,26.62796272,3.561489166,36.14391437,59.71407041,6.718461728,35.50019751,58.3042856,6.954858821,47.84887368,13.65796686,89.72004911,B,1.7675,3.8,1.3,1,0.07,0.03,0.02
anom2,21.45461491,33.0685735,7.419597775,10.15266137,16.5603085,2.102873173,21.00312568,33.81562065,4.877797666,68.39272372,50.371118,90.47752905,A,1.7675,3.9,1.5,1.3,0.075,0.035,0.03
atki1,15.33822066,23.07266403,6.374080009,22.28147817,38.09980496,2.94037369,20.67745467,35.61483461,2.483027602,62.38030117,38.82753102,90.6855463,A,2.2385,4.3,1.6,1.3,0.1,0.035,0.025
atki2,18.82281259,27.78089346,8.541807012,7.292020111,13.16910908,0.309481476,7.983262399,14.3796374,0.369007211,73.8851673,59.04999746,91.14871151,A,2.2385,4.5,1.8,1.2,0.075,0.03,0.05
aurs1,48.71863691,61.94974724,31.22016321,23.44432456,34.93775483,8.700401976,19.87298824,30.0521138,6.980015266,27.83703853,3.112497932,60.07943481,A,1.714,3.3,1.4,0.9,0.05,0.02,0.015
aurs2,46.69625178,57.76999893,31.63577211,23.51476297,35.23334804,8.635724004,18.46582363,27.32485049,7.195401176,29.78898525,6.996653025,59.72850388,B,1.714,3.1,1.3,1.1,0.045,0.015,0.015
clor1,28.86287341,39.2388393,15.77655947,29.34274095,42.57293761,12.13358128,29.51734192,42.26939861,12.87533536,41.79438563,18.18822308,72.08985925,B,2.330666667,3.5,1.4,1.2,0.075,0.03,0.03
clor2,33.32481122,47.84386609,14.68491175,11.26541676,16.63905563,4.496964149,11.08291536,16.1587468,4.667999191,55.40977202,35.51707828,80.8181241,A,2.330666667,4.3,1.6,1.5,0.055,0.025,0.02
conc1,25.67276293,39.98443388,7.459036289,36.31624098,46.84938113,22.12935415,41.26667278,53.96129583,24.38843818,38.0109961,13.16618499,70.41160956,A,2.175,3.9,1.4,1.2,0.06,0.02,0.02
conc2,34.9546614,51.9009634,12.72034909,31.48374079,41.52140264,18.34245389,29.04317842,38.25329599,16.94879434,33.5615978,6.57763396,68.93719702,B,2.175,3.6,1.4,1,0.055,0.02,0.015
ecry1,25.90773016,33.96683458,16.44124176,26.10103579,41.98620835,6.184104744,27.67322696,44.41416038,6.661862175,47.99123404,24.04695707,77.3746535,A,2.204,4.5,1.8,1.3,0.075,0.03,0.02
ecry2,28.85724354,41.36001368,11.63009815,26.37341823,40.73331264,8.574407275,24.93124615,38.20885338,8.473753167,44.76933823,17.90667368,79.79549457,B,2.204,3.9,1.4,1.1,0.055,0.02,0.02
fchi1,18.74025048,26.66624555,9.172442535,3.477544506,6.389513577,0.068163933,5.080275716,9.279115626,0.13843842,77.78220501,66.94424088,90.75939353,A,1.956,5.2,2.5,1.4,0.08,0.04,0.015
fchi2,20.50125741,30.19371048,8.655488049,6.270328492,11.23725012,0.336959869,14.30786646,25.24257197,1.113910609,73.22841409,58.5690394,91.00755208,B,1.956,4.7,2.1,1.3,0.07,0.03,0.02
gray1,30.86635656,45.75307053,12.91653256,5.8727554,9.636583258,1.195193932,7.214063923,11.79547103,1.514996304,63.26088804,44.61034621,85.8882735,A,2.694,5.2,2.2,1.7,0.08,0.025,0.025
gray2,23.72301972,36.86220231,7.906547589,7.303175635,11.85330191,1.610946075,6.475215309,10.54288317,1.394886432,68.97380465,51.28449577,90.48250634,B,2.694,4.7,1.8,1.5,0.065,0.025,0.025
hirs1,20.6269555,32.18475133,6.387952257,24.50369642,35.12336487,10.46613301,23.48557687,33.779572,9.907409874,54.86934808,32.6918838,83.14591474,B,2.321428571,4.3,1.4,1.2,0.06,0.02,0.02
hirs2,26.79749521,41.2253895,8.511759408,20.48211294,28.66807941,9.652046804,20.24956819,28.20021422,9.687620402,52.72039185,30.10653109,81.83619379,A,2.321428571,4,1.5,1.4,0.055,0.02,0.025
lats1,35.55337576,49.55899939,18.68783793,13.3726236,21.47121414,3.088988457,15.21676212,23.97212942,3.958832368,51.07400064,28.96978647,78.22317361,A,2.971,3.8,1.4,1.3,0.08,0.02,0.025
lats2,38.94802452,49.67949872,24.82719351,11.58862642,18.18495458,3.305164052,17.02345305,26.48574208,5.025743013,49.46334906,32.1355467,71.86764244,B,2.971,4.1,1.7,1.6,0.09,0.03,0.03
mcla1,42.11565617,58.7540446,20.40754486,5.690812671,8.586092816,2.040591872,6.260418333,9.396356746,2.317481691,52.19353116,32.65986258,77.55186327,A,3.1365,3.6,1.5,1.2,0.065,0.025,0.025
mclm1,45.25307282,63.22748204,21.80172346,5.345451679,7.528273569,2.549219706,5.811845912,8.1082929,2.870683155,49.4014755,29.2442444,75.64905683,A,2.97,4.4,1.6,1.4,0.075,0.025,0.02
mclm2,36.0493944,53.80113533,13.36381242,7.278648901,10.55675199,3.068650894,7.443334882,10.82998161,3.091036321,56.6719567,35.64211268,83.56753669,B,2.97,4.2,1.6,1.3,0.06,0.02,0.02
narm1,30.89183279,46.48730517,10.8784272,6.821837248,9.884054732,2.910610154,9.927201761,13.88320211,4.851439471,62.28632996,43.6286401,86.21096264,A,2.513333333,4.1,1.5,1.3,0.06,0.02,0.025
narm2,22.94984841,35.5725877,6.902061346,7.984829345,11.74931674,3.089161899,13.47738985,19.04704234,6.152986422,69.06532224,52.67809556,90.00877676,B,2.513333333,4.3,1.7,1.3,0.075,0.025,0.02
ocul1,26.98493926,44.58060316,5.106945689,25.52796538,35.93782737,12.21700311,23.93943601,33.42006486,11.83323892,47.48709536,19.48156947,82.6760512,A,1.954,3.8,1.4,1.2,0.055,0.02,0.02
ocul2,31.44835204,50.25715494,8.079864837,26.9651286,36.20498426,15.1451837,24.36261496,32.54930294,13.90722086,41.58651937,13.5378608,76.77495146,B,1.954,3.3,1.4,0.9,0.045,0.015,0.015
oliv1,25.92428854,38.74445917,9.847356232,34.0669457,45.23375523,19.5754893,34.36511748,45.58842619,19.88239137,40.00876576,16.0217856,70.57715447,A,1.973333333,3.1,1.2,1.4,0.07,0.03,0.04
oliv2,33.87927172,52.36524236,11.06939506,15.14631243,23.28649176,5.12077133,13.58896024,20.74656152,4.76455984,50.97441585,24.34826588,83.80983361,B,1.973333333,3.6,1.1,1.1,0.07,0.015,0.02
opal1,24.29049729,33.3506935,13.00528106,22.14285872,33.95362082,6.957098078,20.23481967,30.7219478,6.738843728,53.56664398,32.69568568,80.03762087,A,2.588,4.6,1.9,1.4,0.075,0.02,0.03
pali1,37.31951614,53.99418671,15.48126605,7.852741257,11.82464974,2.878137781,9.707405616,14.53709554,3.657119859,54.8277426,34.18116356,81.64059617,A,2.019428571,4.4,1.6,1.2,0.065,0.02,0.025
pali2,25.87169282,41.43852079,6.128344564,10.43145595,15.09760586,4.409684146,10.04755484,14.67476454,4.108138385,63.69685124,43.46387336,89.46197129,B,2.019428571,4,1.4,1.2,0.065,0.02,0.02
poro1,24.27418147,35.82070994,9.384357629,21.39616517,29.25005565,11.21644485,20.614096,27.98121336,11.05680342,54.32965335,34.92923441,79.39919752,A,2.426538462,3.9,1.4,1.1,0.055,0.02,0.02
