wl,rpan1,rpmm1,rpmt1,aurs1,aurs2,clor1,clor2,conc1,conc2,hirs1,hirs2,mcla1,mclm1,mclm2,narm1,narm2,pali1,pali2,pvul1,pvul2,poro1,poro2,prsi1,prsi2,prsi3,smgd1,xyln1,xyln2,xyln3,anom1,anom2,atki1,atki2,fchi1,fchi2,gray1,gray2,rayn1,rayn2,smgd2,vrid1,vrid2,tars1,tars2,opal1,rose1,lats1,lats2,ecry1,ecry2,ocul1,ocul2,oliv1,oliv2,ppsi1,ppsi2
400,4.452272727,5.224090909,3.670909091,4.875909091,4.946136364,9.343863636,7.192045455,2.067954545,2.207954545,1.488409091,1.088409091,7.131363636,4.5425,3.020227273,2.482727273,2.344545455,2.891590909,0.647727273,2.113409091,2.685227273,1.083409091,3.209090909,6.920454545,3.127954545,3.156590909,0.518409091,1.061590909,4.872727273,4.779772727,0.834318182,4.399090909,0.752727273,1.616818182,1.493181818,1.716136364,3.734772727,0.909545455,1.850681818,0.953863636,3.535227273,2.42,4.160454545,4.601136364,3.8275,3.082045455,2.778181818,4.116818182,11.06090909,2.860681818,1.402954545,1.318636364,2.037727273,3.249318182,3.866363636,5.480909091,1.922954545
401,4.451027668,5.305849802,3.658932806,4.780454545,4.842959486,9.296823123,7.150370553,2.017238142,2.122346838,1.459639328,1.03833498,7.06187747,4.452445652,2.978374506,2.43777668,2.319881423,2.825686759,0.633537549,2.041269763,2.632178854,1.05333498,3.124762846,6.894466403,3.074085968,3.104382411,0.510943676,1.022099802,4.808863636,4.71673419,0.83118083,4.385306324,0.764624506,1.597648221,1.504525692,1.715459486,3.705647233,0.86444664,1.832623518,0.932475296,3.525874506,2.384673913,4.105335968,4.567633399,3.801467391,3.099174901,2.797351779,4.040474308,11.30219368,2.823601779,1.357999012,1.272687747,2.002124506,3.2294417,3.814486166,5.441758893,1.876368577
402,4.449782609,5.387608696,3.646956522,4.685,4.739782609,9.249782609,7.108695652,1.966521739,2.03673913,1.430869565,0.98826087,6.992391304,4.362391304,2.936521739,2.392826087,2.295217391,2.759782609,0.619347826,1.969130435,2.579130435,1.02326087,3.040434783,6.868478261,3.020217391,3.052173913,0.503478261,0.982608696,4.745,4.653695652,0.828043478,4.371521739,0.776521739,1.578478261,1.515869565,1.714782609,3.676521739,0.819347826,1.814565217,0.911086957,3.516521739,2.349347826,4.050217391,4.534130435,3.775434783,3.116304348,2.816521739,3.964130435,11.54347826,2.786521739,1.313043478,1.22673913,1.966521739,3.209565217,3.762608696,5.402608696,1.829782609
403,4.452277668,5.463008893,3.634046443,4.595340909,4.640118577,9.21409585,7.064006917,1.92041996,1.958483202,1.399298419,0.953226285,6.934263834,4.287218379,2.914056324,2.356185771,2.270449605,2.700459486,0.601833004,1.90354249,2.527178854,0.999925889,2.955217391,6.843898221,2.971017787,3.011086957,0.496511858,0.939258893,4.697159091,4.587756917,0.818339921,4.349851779,0.778942688,1.568784585,1.528616601,1.70909585,3.652465415,0.777173913,1.797055336,0.894407115,3.495079051,2.299787549,3.987040514,4.489451581,3.7518083,3.120538538,2.821556324,3.878997036,11.78583004,2.746556324,1.25743083,1.173937747,1.910306324,3.180464427,3.703917984,5.354827075,1.768186759
404,4.454772727,5.538409091,3.621136364,4.505681818,4.540454545,9.178409091,7.019318182,1.874318182,1.880227273,1.367727273,0.928409091,6.876136364,4.212045455,2.891590909,2.319545455,2.245681818,2.641136364,0.584318182,1.837954545,2.475227273,0.976590909,2.87,6.819318182,2.921818182,2.97,0.489545455,0.895909091,4.649318182,4.521818182,0.808636364,4.328181818,0.781363636,1.559090909,1.541363636,1.703409091,3.628409091,0.735,1.779545455,0.877727273,3.473636364,2.250227273,3.923863636,4.444772727,3.728181818,3.124772727,2.826590909,3.793863636,12.02818182,2.706590909,1.201818182,1.121136364,1.854090909,3.151363636,3.645227273,5.307045455,1.706590909
405,4.454777668,5.608443676,3.60437253,4.427623518,4.450988142,9.165182806,6.979224308,1.844659091,1.813157115,1.341798419,0.906487154,6.837959486,4.151131423,2.878730237,2.274229249,2.222514822,2.586655138,0.561833004,1.773325099,2.420657115,0.954599802,2.788913043,6.80368083,2.877213439,2.944565217,0.482490119,0.851541502,4.616833004,4.456235178,0.801709486,4.306590909,0.784051383,1.548893281,1.554594862,1.694421937,3.599748024,0.700652174,1.759881423,0.862667984,3.445405138,2.187831028,3.839540514,4.375647233,3.693547431,3.110864625,2.814925889,3.699540514,12.25648221,2.661447628,1.125583004,1.035785573,1.783675889,3.110464427,3.574678854,5.256240119,1.638730237
406,4.454782609,5.678478261,3.587608696,4.349565217,4.361521739,9.151956522,6.939130435,1.815,1.746086957,1.315869565,0.884565217,6.799782609,4.090217391,2.865869565,2.228913043,2.199347826,2.532173913,0.539347826,1.708695652,2.366086957,0.932608696,2.707826087,6.788043478,2.832608696,2.919130435,0.475434783,0.807173913,4.584347826,4.390652174,0.794782609,4.285,0.78673913,1.538695652,1.567826087,1.685434783,3.571086957,0.666304348,1.740217391,0.847608696,3.417173913,2.125434783,3.755217391,4.306521739,3.658913043,3.096956522,2.80326087,3.605217391,12.48478261,2.616304348,1.049347826,0.950434783,1.71326087,3.069565217,3.504130435,5.205434783,1.570869565
407,4.452504941,5.750602767,3.571304348,4.278418972,4.283033597,9.145750988,6.90229249,1.783522727,1.683157115,1.289525692,0.8681917,6.76284585,4.040335968,2.858843874,2.183433794,2.171378458,2.474836957,0.515923913,1.644120553,2.311338933,0.906758893,2.626072134,6.775953557,2.786645257,2.889451581,0.463171937,0.768359684,4.559787549,4.334985178,0.788754941,4.277272727,0.798255929,1.53048419,1.582890316,1.676581028,3.54861166,0.642583992,1.722608696,0.833349802,3.397677866,2.059649209,3.667267787,4.238033597,3.633092885,3.08881917,2.796857708,3.518858696,12.71636858,2.579743083,0.987969368,0.867035573,1.660607708,3.042282609,3.437178854,5.167490119,1.514639328
408,4.450227273,5.822727273,3.555,4.207272727,4.204545455,9.139545455,6.865454545,1.752045455,1.620227273,1.263181818,0.851818182,6.725909091,3.990454545,2.851818182,2.137954545,2.143409091,2.4175,0.4925,1.579545455,2.256590909,0.880909091,2.544318182,6.763863636,2.740681818,2.859772727,0.450909091,0.729545455,4.535227273,4.279318182,0.782727273,4.269545455,0.809772727,1.522272727,1.597954545,1.667727273,3.526136364,0.618863636,1.705,0.819090909,3.378181818,1.993863636,3.579318182,4.169545455,3.607272727,3.080681818,2.790454545,3.4325,12.94795455,2.543181818,0.926590909,0.783636364,1.607954545,3.015,3.370227273,5.129545455,1.458409091
409,4.454678854,5.88951581,3.547934783,4.135592885,4.135533597,9.141403162,6.828379447,1.724392292,1.571417984,1.248764822,0.834713439,6.697737154,3.973162055,2.861561265,2.093977273,2.126487154,2.367336957,0.467880435,1.528794466,2.210360672,0.861650198,2.475528656,6.746823123,2.68881917,2.837277668,0.440780632,0.69770751,4.529135375,4.240746047,0.77277668,4.26520751,0.808038538,1.522875494,1.610172925,1.650059289,3.506655138,0.603562253,1.68576087,0.816610672,3.365612648,1.926497036,3.527811265,4.111511858,3.607332016,3.095232213,2.807401186,3.36798913,13.21158597,2.517025692,0.881882411,0.731709486,1.570390316,3.000543478,3.332613636,5.104881423,1.418008893
