wl,xyln1t,fchi1t,xyln2t,xyln3t,anom1t,anom2t,atki1t,atki2t,fchi2t,gray1t,gray2t,mcla1t,rayn1t,rayn2t,rpan1t,rpmm1t,rpmt1t,aurs2t,aurs1t,clor1t,clor2t,conc1t,conc2t,hirs1t,hirs2t,prsi1t,prsi2t,prsi3t,mclm1t,mclm2t,narm1t,narm2t,smgd1t,smgd2t,pali1t,pali2t,ocul1t,ocul2t,tars1t,vrid1t,vrid2t,opal1t,rose1t,lats1t,lats2t,pvul1t,pvul2t,ecry1t,ecry2t,poro1t,poro2t,ppsi1t,ppsi2t,tars2t,oliv2t,oliv1t
300,1.864375,0.05375,-0.006875,-0.0625,1.823125,0.45625,0.941875,0.10625,0.0975,0.095,0.2425,0.15875,0.83625,1.035625,0.15625,0.484375,0.91625,1.255,1.335625,1.8275,0.61875,2.459375,2.078125,1.555625,1.36125,0.114375,0.160625,0.09375,0.39375,0.4175,0.41125,0.508125,1.17875,0.374375,0.456875,0.691875,1.7225,1.7725,0.870625,1.196875,0.215625,1.21875,0.7475,0.560625,0.501875,1.39,2.2675,1.391875,1.38375,1.280625,0.25875,0.761875,1.140625,0.598125,0.500625,1.380625
302,1.923,0.0545,0.0065,-0.068,1.882,0.476,0.969,0.125,0.104,0.1065,0.2515,0.172,0.8645,1.0685,0.163,0.516,0.9505,1.283,1.368,1.886,0.651,2.532,2.1355,1.5915,1.399,0.1215,0.173,0.0965,0.411,0.442,0.433,0.531,1.211,0.3905,0.4775,0.712,1.767,1.818,0.9025,1.232,0.2325,1.2505,0.7875,0.584,0.527,1.4345,2.3385,1.432,1.428,1.3115,0.272,0.7985,1.188,0.6265,0.5165,1.428
304,2.010909091,0.047272727,0.02,-0.074090909,1.976363636,0.509090909,0.999545455,0.143636364,0.118181818,0.108181818,0.257727273,0.18,0.9,1.114545455,0.171363636,0.549545455,0.995,1.325454545,1.418181818,1.974090909,0.688181818,2.637272727,2.216818182,1.648181818,1.454090909,0.13,0.183181818,0.097272727,0.428181818,0.459090909,0.459545455,0.560909091,1.268181818,0.412272727,0.502272727,0.745454545,1.839090909,1.888181818,0.949090909,1.290909091,0.244545455,1.309545455,0.838181818,0.611818182,0.566818182,1.496363636,2.457272727,1.491818182,1.494090909,1.364090909,0.289090909,0.850454545,1.254090909,0.662727273,0.547272727,1.503636364
306,2.042727273,0.039090909,0.03,-0.070909091,2.014090909,0.524545455,1.010909091,0.158181818,0.128636364,0.110454545,0.256818182,0.180454545,0.905909091,1.139090909,0.171818182,0.563181818,1.002272727,1.331363636,1.425,1.997272727,0.704545455,2.666363636,2.239545455,1.666363636,1.464090909,0.132727273,0.182272727,0.098181818,0.425,0.465,0.466363636,0.568181818,1.287272727,0.42,0.513181818,0.760454545,1.855909091,1.901818182,0.965454545,1.316818182,0.256363636,1.329090909,0.865454545,0.619090909,0.593181818,1.519090909,2.508181818,1.515909091,1.525,1.387272727,0.302272727,0.875,1.280909091,0.680454545,0.557727273,1.530909091
308,1.996521739,0.024782609,0.038695652,-0.058695652,1.985217391,0.512173913,0.992608696,0.170434783,0.128695652,0.122173913,0.253478261,0.180869565,0.880434783,1.13,0.172173913,0.549130435,0.97,1.295217391,1.385217391,1.950434783,0.698695652,2.603913043,2.182608696,1.627826087,1.419565217,0.117826087,0.167391304,0.093478261,0.410434783,0.456521739,0.44826087,0.551304348,1.257391304,0.415217391,0.51,0.74826087,1.81,1.856086957,0.944347826,1.289565217,0.257826087,1.290869565,0.852173913,0.599565217,0.588695652,1.485217391,2.463043478,1.472173913,1.494347826,1.354782609,0.292173913,0.858695652,1.245217391,0.657826087,0.545652174,1.492608696
310,1.970454545,0.007272727,0.033181818,-0.051363636,1.981363636,0.495,0.987727273,0.169090909,0.120454545,0.125909091,0.253181818,0.175909091,0.866818182,1.121818182,0.17,0.536818182,0.942727273,1.277727273,1.36,1.928181818,0.689545455,2.580454545,2.155909091,1.612272727,1.398181818,0.100909091,0.150909091,0.085454545,0.395454545,0.439545455,0.437727273,0.536818182,1.248181818,0.407727273,0.509090909,0.743636364,1.789090909,1.847727273,0.936818182,1.280454545,0.255909091,1.275454545,0.839545455,0.589090909,0.585909091,1.475909091,2.448181818,1.445909091,1.483181818,1.334090909,0.277272727,0.845,1.220909091,0.635,0.542272727,1.476363636
312,1.996818182,-0.001363636,0.02,-0.039090909,2.015909091,0.49,1.005454545,0.169090909,0.110909091,0.128636364,0.26,0.168636364,0.880909091,1.135909091,0.175454545,0.525,0.937727273,1.291363636,1.378181818,1.947272727,0.684545455,2.616818182,2.180909091,1.639545455,1.412272727,0.089090909,0.130909091,0.079090909,0.395454545,0.433636364,0.438636364,0.535909091,1.274545455,0.397727273,0.514090909,0.751818182,1.815,1.878181818,0.956363636,1.300909091,0.250909091,1.298181818,0.844090909,0.590909091,0.591363636,1.504545455,2.484090909,1.461363636,1.509090909,1.350909091,0.277727273,0.847272727,1.232272727,0.633636364,0.560454545,1.5
314,2.085,0.006818182,0.01,-0.025,2.095454545,0.500454545,1.069545455,0.184545455,0.109545455,0.144545455,0.286818182,0.177272727,0.929090909,1.180454545,0.205454545,0.534090909,0.968636364,1.352272727,1.445454545,2.016363636,0.704545455,2.725,2.275909091,1.715,1.470454545,0.084545455,0.121363636,0.091818182,0.405454545,0.456363636,0.457272727,0.557272727,1.338181818,0.386818182,0.543181818,0.76,1.893636364,1.959545455,1.004545455,1.354090909,0.252727273,1.349090909,0.871818182,0.603636364,0.601818182,1.572727273,2.572727273,1.525,1.570454545,1.409090909,0.288636364,0.87,1.265,0.662272727,0.588181818,1.560909091
316,2.200909091,0.008181818,-0.002727273,-0.026818182,2.209090909,0.519090909,1.142272727,0.194545455,0.104090909,0.150454545,0.309090909,0.184090909,0.983181818,1.229545455,0.23,0.557272727,1.029090909,1.434545455,1.534090909,2.134545455,0.745,2.877727273,2.413181818,1.815,1.555454545,0.075909091,0.121818182,0.105454545,0.422727273,0.489545455,0.485,0.597272727,1.410909091,0.401363636,0.579545455,0.781818182,2.012727273,2.075454545,1.066363636,1.413636364,0.260454545,1.422727273,0.904090909,0.621818182,0.617727273,1.660454545,2.691818182,1.61,1.653181818,1.48,0.296363636,0.908181818,1.318181818,0.695454545,0.615909091,1.660454545
318,2.332727273,0.014545455,-0.020454545,-0.043181818,2.329545455,0.540909091,1.217727273,0.191818182,0.103181818,0.145909091,0.320909091,0.176363636,1.050909091,1.276363636,0.243636364,0.592727273,1.097272727,1.523636364,1.627272727,2.273181818,0.798181818,3.047727273,2.566818182,1.926363636,1.663636364,0.066818182,0.136818182,0.128636364,0.449090909,0.516818182,0.524545455,0.645909091,1.485,0.425,0.619090909,0.823181818,2.143181818,2.209090909,1.137727273,1.490454545,0.266818182,1.520454545,0.947272727,0.645,0.619090909,1.762727273,2.823181818,1.719090909,1.749090909,1.565909091,0.314090909,0.955454545,1.391818182,0.738181818,0.647272727,1.776363636
