wl,xyln1b,fchi1b,xyln2b,xyln3b,anom1b,anom2b,atki1b,atki2b,fchi2b,gray1b,gray2b,mcla1b,rayn1b,rayn2b,rpan1b,rpmm1b,rpmt1b,aurs2b,aurs1b,clor1b,clor2b,conc1b,conc2b,hirs1b,hirs2b,prsi1b,prsi2b,prsi3b,mclm1b,mclm2b,narm1b,narm2b,smgd1b,smgd2b,pali1b,pali2b,ocul1b,ocul2b,tars1b,vrid1b,vrid2b,opal1b,rose1b,lats1b,lats2b,pvul1b,pvul2b,ecry1b,ecry2b,poro1b,poro2b,ppsi1b,ppsi2b,tars2b,oliv2b,oliv1b
300,1.7275,0.113125,0.013125,-0.001875,1.8025,1.0225,0.800625,0.16,0.43625,0.208125,0.13875,0.113125,0.843125,1.0775,0.369375,0.58,0.91625,1.005,1.025,1.79125,0.61375,2.6725,1.800625,1.440625,1.29375,0.115,0.10125,0.109375,0.360625,0.40875,0.62625,0.844375,0.973125,0.645,0.5625,0.616875,1.595625,1.52625,0.803125,1.178125,0.1825,1.3875,0.848125,0.6525,0.731875,1.37125,1.935625,1.445,1.295625,1.1025,0.2575,0.861875,0.99875,0.5875,0.480625,1.343125
302,1.7905,0.112,0.0185,0.002,1.846,1.0505,0.824,0.1765,0.4455,0.2235,0.148,0.1285,0.8725,1.1165,0.3795,0.601,0.9475,1.029,1.0625,1.8485,0.6345,2.7445,1.8485,1.4825,1.3385,0.1185,0.109,0.1095,0.3735,0.4315,0.639,0.8625,1.01,0.6635,0.577,0.6365,1.629,1.5795,0.8315,1.2165,0.194,1.4235,0.882,0.6825,0.7585,1.4065,1.99,1.486,1.333,1.1465,0.276,0.897,1.034,0.605,0.494,1.3865
304,1.876363636,0.106363636,0.02,0.003181818,1.916818182,1.099545455,0.87,0.204090909,0.466363636,0.239090909,0.160454545,0.148636364,0.918636364,1.174090909,0.387727273,0.63,0.991818182,1.068181818,1.114545455,1.936363636,0.674090909,2.865454545,1.915909091,1.552272727,1.401818182,0.112727273,0.111363636,0.104090909,0.385909091,0.457727273,0.653636364,0.891818182,1.051818182,0.683636364,0.599090909,0.666818182,1.692727273,1.655909091,0.873636364,1.279545455,0.204090909,1.483181818,0.932272727,0.716818182,0.801363636,1.461363636,2.079545455,1.557727273,1.396363636,1.21,0.296818182,0.946363636,1.082272727,0.632727273,0.516818182,1.457727273
306,1.904090909,0.1,0.019090909,0.014090909,1.940454545,1.118636364,0.895454545,0.22,0.477272727,0.246363636,0.171818182,0.162727273,0.937727273,1.195909091,0.376363636,0.635,1.000454545,1.076818182,1.136363636,1.96,0.689545455,2.904545455,1.931818182,1.581818182,1.423181818,0.106818182,0.112272727,0.093636364,0.394545455,0.468181818,0.654090909,0.895,1.067272727,0.688181818,0.604090909,0.674545455,1.708181818,1.683636364,0.887272727,1.31,0.219090909,1.504090909,0.954545455,0.729545455,0.819090909,1.476363636,2.118181818,1.586818182,1.426363636,1.243636364,0.315909091,0.966818182,1.105909091,0.645909091,0.52,1.478636364
308,1.866521739,0.090434783,0.013913043,0.033043478,1.909565217,1.099565217,0.890869565,0.213043478,0.469565217,0.250434783,0.176086957,0.176086957,0.921304348,1.176521739,0.353913043,0.616086957,0.964782609,1.050869565,1.120869565,1.909130435,0.676956522,2.826956522,1.882173913,1.553043478,1.394347826,0.095652174,0.105652174,0.080869565,0.38826087,0.454347826,0.624782609,0.873913043,1.053043478,0.674347826,0.589565217,0.664347826,1.671304348,1.649130435,0.879565217,1.287391304,0.213478261,1.47826087,0.940434783,0.714347826,0.801304348,1.441304348,2.08173913,1.550434783,1.400869565,1.229130435,0.318695652,0.943913043,1.083043478,0.626956522,0.504782609,1.448695652
310,1.850909091,0.074090909,-0.001363636,0.036363636,1.911818182,1.099090909,0.892272727,0.199545455,0.473181818,0.255,0.169090909,0.174545455,0.917272727,1.173181818,0.337727273,0.602272727,0.936818182,1.044545455,1.105454545,1.885454545,0.659090909,2.790454545,1.86,1.532727273,1.380454545,0.078181818,0.089090909,0.074090909,0.38,0.439090909,0.607272727,0.860454545,1.050454545,0.668636364,0.58,0.663181818,1.663636364,1.636818182,0.880454545,1.284545455,0.200909091,1.468181818,0.943181818,0.700454545,0.795454545,1.429545455,2.078181818,1.533181818,1.394090909,1.227272727,0.321363636,0.935454545,1.07,0.615454545,0.495454545,1.443636364
312,1.879090909,0.064090909,-0.014545455,0.045909091,1.954545455,1.130909091,0.905909091,0.185909091,0.490454545,0.255909091,0.171363636,0.175,0.930454545,1.195454545,0.329090909,0.608181818,0.932727273,1.062272727,1.105,1.906363636,0.656363636,2.82,1.885454545,1.544545455,1.393636364,0.076363636,0.078181818,0.075454545,0.380909091,0.431818182,0.611363636,0.871363636,1.061363636,0.677727273,0.587727273,0.675454545,1.701818182,1.653636364,0.896363636,1.315909091,0.203181818,1.484545455,0.962727273,0.705,0.81,1.453181818,2.117272727,1.556363636,1.414090909,1.243181818,0.336363636,0.941363636,1.092272727,0.632727273,0.502727273,1.47
314,1.968181818,0.065,-0.009090909,0.061363636,2.049090909,1.200454545,0.940454545,0.181363636,0.516363636,0.259545455,0.19,0.186363636,0.971818182,1.244090909,0.343181818,0.637272727,0.96,1.112272727,1.133181818,1.98,0.661363636,2.927727273,1.975454545,1.590454545,1.451363636,0.102272727,0.078636364,0.089545455,0.400909091,0.436363636,0.654545455,0.916818182,1.104090909,0.718636364,0.608636364,0.7,1.778181818,1.716818182,0.935909091,1.380909091,0.226363636,1.520909091,1,0.736818182,0.841818182,1.508181818,2.201818182,1.603181818,1.465909091,1.285,0.354545455,0.961818182,1.140909091,0.675909091,0.520454545,1.529545455
316,2.085909091,0.066818182,-0.002272727,0.052727273,2.154545455,1.27,0.979090909,0.179090909,0.540909091,0.260454545,0.198636364,0.202272727,1.013636364,1.306818182,0.372272727,0.683636364,1.011818182,1.174545455,1.184090909,2.093636364,0.687727273,3.09,2.094545455,1.675454545,1.539545455,0.127272727,0.08,0.097272727,0.421818182,0.465454545,0.705909091,0.973181818,1.160909091,0.765909091,0.635,0.740454545,1.882727273,1.817727273,0.994545455,1.458181818,0.236818182,1.578636364,1.05,0.782272727,0.881363636,1.586363636,2.318181818,1.676363636,1.537727273,1.342272727,0.361818182,1.005454545,1.199090909,0.720454545,0.543636364,1.617727273
318,2.214545455,0.071818182,-0.000909091,0.027272727,2.266363636,1.338636364,1.010454545,0.198181818,0.561818182,0.263636364,0.203636364,0.206363636,1.057727273,1.375454545,0.414090909,0.727272727,1.071818182,1.26,1.244545455,2.225,0.723181818,3.282272727,2.221818182,1.775454545,1.638181818,0.141818182,0.085909091,0.111363636,0.44,0.500454545,0.777727273,1.031363636,1.218636364,0.804545455,0.67,0.787727273,1.996363636,1.938181818,1.051363636,1.55,0.244545455,1.648181818,1.111818182,0.819545455,0.924545455,1.685454545,2.463181818,1.775454545,1.62,1.41,0.373636364,1.059545455,1.27,0.764545455,0.575909091,1.724090909
320,2.251363636,0.085454545,0.010454545,0.027272727,2.29,1.351363636,1.008181818,0.222727273,0.565909091,0.267727273,0.222727273,0.212272727,1.069545455,1.389090909,0.436818182,0.735909091,1.082727273,1.291818182,1.26,2.257727273,0.740454545,3.318636364,2.246363636,1.800909091,1.658181818,0.146818182,0.098636364,0.123636364,0.443636364,0.516363636,0.807727273,1.051818182,1.219545455,0.806363636,0.675,0.795,2.020909091,1.965,1.060454545,1.568636364,0.246363636,1.66,1.121818182,0.827272727,0.931363636,1.708181818,2.493636364,1.8,1.64,1.415,0.380454545,1.073636364,1.285454545,0.774545455,0.585,1.747727273
322,2.18826087,0.093043478,0.012173913,0.023913043,2.225652174,1.301304348,0.965217391,0.229130435,0.545217391,0.262173913,0.227391304,0.202173913,1.036956522,1.342173913,0.442608696,0.711304348,1.057391304,1.269565217,1.233913043,2.2,0.729130435,3.232608696,2.189130435,1.763043478,1.616086957,0.138695652,0.109565217,0.126086957,0.435217391,0.506086957,0.804347826,1.029565217,1.175652174,0.774782609,0.654347826,0.776521739,1.964347826,1.915652174,1.033913043,1.52826087,0.246086957,1.627826087,1.075652174,0.800869565,0.900869565,1.671304348,2.429565217,1.754347826,1.603043478,1.376086957,0.376086957,1.053478261,1.243913043,0.749130435,0.571304348,1.707391304
324,2.096363636,0.092727273,-0.003636364,0.015909091,2.141818182,1.228181818,0.906363636,0.21,0.518636364,0.255909091,0.208181818,0.180909091,0.983636364,1.279545455,0.448181818,0.686818182,1.045,1.241818182,1.205454545,2.14,0.723636364,3.131818182,2.128636364,1.722727273,1.573636364,0.130909091,0.115909091,0.13,0.425454545,0.504090909,0.785909091,1.001363636,1.135909091,0.744090909,0.63,0.752272727,1.891363636,1.856818182,0.994545455,1.476363636,0.239545455,1.595,1.030909091,0.765909091,0.862272727,1.622727273,2.354090909,1.708636364,1.548636364,1.333181818,0.366818182,1.033636364,1.204545455,0.72,0.567272727,1.665454545
326,2.018181818,0.095,-0.026363636,0.015454545,2.080909091,1.17,0.855909091,0.199545455,0.495,0.248181818,0.189090909,0.149090909,0.937272727,1.220454545,0.445,0.668636364,1.036818182,1.220909091,1.181818182,2.095909091,0.72,3.045,2.089545455,1.671363636,1.535,0.122727273,0.115,0.139090909,0.413181818,0.485454545,0.767272727,0.981363636,1.108636364,0.719545455,0.625454545,0.743636364,1.837727273,1.816363636,0.971363636,1.431363636,0.234090909,1.574545455,1.008181818,0.743181818,0.841818182,1.583181818,2.292272727,1.672727273,1.497272727,1.302727273,0.369545455,1.020454545,1.182272727,0.700454545,0.581818182,1.647272727
