wl,halfsun,visfilterTransmittance,nirfilterTransmittance,Full.f,vis.f,nir.f
400,1.6255,87.08227273,1.260909091,1.6255,1.415522343,0.020496077
401,1.6353,87.03722332,1.242628459,1.6353,1.423319713,0.020320703
402,1.6451,86.99217391,1.224347826,1.6451,1.431108253,0.020141746
403,1.6549,86.55540514,1.20603755,1.6549,1.4324054,0.019958715
404,1.6647,86.11863636,1.187727273,1.6647,1.433616939,0.019772096
405,1.6745,85.94801383,1.170602767,1.6745,1.439199492,0.019601743
406,1.689,85.7773913,1.153478261,1.689,1.448780139,0.019482248
407,1.7035,85.93278656,1.13833004,1.7035,1.463865019,0.019391452
408,1.718,86.08818182,1.123181818,1.718,1.478994964,0.019296264
409,1.7325,86.266917,1.112677866,1.7325,1.494574337,0.019277144
410,1.747,86.44565217,1.102173913,1.747,1.510205543,0.019254978
411,1.7686,86.51373518,1.084268775,1.7686,1.53008192,0.019176378
412,1.7902,86.58181818,1.066363636,1.7902,1.549987709,0.019090042
413,1.8118,86.73025692,1.029486166,1.8118,1.571378795,0.01865223
414,1.8334,86.87869565,0.992608696,1.8334,1.592834006,0.018198488
415,1.855,86.97002965,0.950849803,1.855,1.61329405,0.017638264
416,1.8845,87.06136364,0.909090909,1.8845,1.640671398,0.017131818
417,1.914,86.93546443,0.864110672,1.914,1.663944789,0.016539078
418,1.9435,86.80956522,0.819130435,1.9435,1.6871439,0.0159198
419,1.973,86.64273716,0.774337945,1.973,1.709461204,0.015277688
420,2.0025,86.47590909,0.729545455,2.0025,1.73168008,0.014609148
421,2.0355,86.4590415,0.704120554,2.0355,1.75987379,0.014332374
422,2.0685,86.44217391,0.678695652,2.0685,1.788056367,0.01403882
423,2.1015,86.51913044,0.67826087,2.1015,1.818199526,0.014253652
424,2.1345,86.59608696,0.677826087,2.1345,1.848393476,0.014468198
425,2.1675,86.70956522,0.689782609,2.1675,1.879429826,0.014951038
426,2.1929,86.82304348,0.70173913,2.1929,1.90394252,0.015388437
427,2.2183,86.89630435,0.715434783,2.2183,1.927620719,0.01587049
428,2.2437,86.96956522,0.729130435,2.2437,1.951336135,0.0163595
429,2.2691,87.09478261,0.737608696,2.2691,1.976267712,0.016737079
430,2.2945,87.22,0.746086957,2.2945,2.0012629,0.017118965
431,2.2682,87.48152174,0.749782609,2.2682,1.984255876,0.017006569
432,2.2419,87.74304348,0.753478261,2.2419,1.967111292,0.016892229
433,2.2156,88.01243083,0.742420949,2.2156,1.950003417,0.016449079
434,2.1893,88.28181818,0.731363636,2.1893,1.932753845,0.016011744
435,2.163,88.41699605,0.709812253,2.163,1.912459624,0.015353239
436,2.141,88.55217391,0.68826087,2.141,1.895902043,0.014735665
437,2.119,88.72608696,0.673221344,2.119,1.880105783,0.01426556
438,2.097,88.9,0.658181818,2.097,1.864233,0.013802073
439,2.075,89.08782609,0.646264822,2.075,1.848572391,0.013409995
440,2.053,89.27565217,0.634347826,2.053,1.832829139,0.013023161
441,2.0369,89.48608696,0.616086957,2.0369,1.822742105,0.012549075
442,2.0208,89.69652174,0.597826087,2.0208,1.812587311,0.01208087
443,2.0047,89.77108696,0.587173913,2.0047,1.79964098,0.011771075
444,1.9886,89.84565217,0.576521739,1.9886,1.786670639,0.011464711
445,1.9725,89.97717391,0.575217391,1.9725,1.774799755,0.011346163
446,1.9565,90.10869565,0.573913043,1.9565,1.76297663,0.011228609
447,1.9405,90.22326087,0.573478261,1.9405,1.750782377,0.011128346
448,1.9245,90.33782609,0.573043478,1.9245,1.738551463,0.011028222
449,1.9085,90.43913044,0.572173913,1.9085,1.726030804,0.010919939
450,1.8925,90.54043478,0.571304348,1.8925,1.713477728,0.010811935
451,1.8764,90.51294467,0.575879447,1.8764,1.698384894,0.010805802
452,1.8603,90.48545455,0.580454545,1.8603,1.683300911,0.010798196
453,1.8442,90.35664032,0.576531621,1.8442,1.666357161,0.010632396
454,1.8281,90.22782609,0.572608696,1.8281,1.649454889,0.01046786
455,1.812,90.11326087,0.558478261,1.812,1.632852287,0.010119626
456,1.8008,89.99869565,0.544347826,1.8008,1.620696511,0.009802616
457,1.7896,89.97130435,0.53326087,1.7896,1.610126463,0.009543237
458,1.7784,89.94391304,0.522173913,1.7784,1.59956255,0.009286341
459,1.7672,89.9976087,0.513478261,1.7672,1.590437741,0.009074188
460,1.756,90.05130435,0.504782609,1.756,1.581300904,0.008863983
461,1.773,90.10913044,0.497173913,1.773,1.597634883,0.008814893
462,1.79,90.16695652,0.489565217,1.79,1.613988522,0.008763217
463,1.807,90.27217391,0.483695652,1.807,1.631218183,0.00874038
464,1.824,90.3773913,0.477826087,1.824,1.648483617,0.008715548
465,1.841,90.49826087,0.475434783,1.841,1.666072983,0.008752754
