wl,irradiance
400,1.09474
402,1.14079
404,1.14997
406,1.15041
408,1.15643
410,1.162
412,1.19121
414,1.19428
416,1.20836
418,1.21826
420,1.22049
422,1.21701
424,1.21177
426,1.16421
428,1.12398
430,1.11326
432,1.13828
434,1.17583
436,1.27126
438,1.29423
440,1.34682
442,1.34821
444,1.41456
446,1.45709
448,1.48989
450,1.50021
452,1.53284
454,1.54664
456,1.53458
458,1.55706
460,1.56834
462,1.56218
464,1.5587
466,1.55471
468,1.54861
470,1.55168
472,1.56468
474,1.57193
476,1.5907
478,1.59946
480,1.59852
482,1.56568
484,1.53799
486,1.52004
488,1.49993
490,1.50006
492,1.55788
494,1.57478
496,1.56521
498,1.55601
500,1.53634
502,1.53944
504,1.53621
506,1.54671
508,1.56156
510,1.5601
512,1.54838
514,1.50326
516,1.4804
518,1.47644
520,1.48194
522,1.51609
524,1.52069
526,1.53108
528,1.5512
530,1.52789
532,1.56096
534,1.55317
536,1.53582
538,1.53002
540,1.53237
542,1.52723
544,1.52111
546,1.54159
548,1.54506
550,1.5403
552,1.54273
554,1.53972
556,1.52241
558,1.5168
560,1.50937
562,1.50071
564,1.50857
566,1.50066
568,1.49188
570,1.49199
572,1.48907
574,1.48458
576,1.49172
578,1.49258
580,1.50403
582,1.5107
584,1.52053
586,1.48158
588,1.46177
590,1.44266
592,1.42953
594,1.44694
596,1.45792
598,1.45819
600,1.46692
602,1.46897
604,1.47519
606,1.47633
608,1.48098
610,1.46966
612,1.46159
614,1.45249
616,1.45443
618,1.4502
620,1.44364
622,1.4392
624,1.42421
626,1.40751
628,1.40046
630,1.40766
632,1.4094
634,1.42687
636,1.43688
638,1.4433
640,1.44602
642,1.44579
644,1.43118
646,1.41368
648,1.4072
650,1.40092
652,1.36886
654,1.35527
656,1.35367
658,1.34889
660,1.35066
662,1.39702
664,1.40249
666,1.40988
668,1.41519
670,1.41504
672,1.41252
674,1.40711
676,1.40212
678,1.40023
680,1.39509
682,1.38481
684,1.30565
686,1.25248
688,1.22149
690,1.19467
692,1.21998
694,1.26566
696,1.28329
698,1.28368
700,1.29087
702,1.29388
704,1.29419
706,1.30294
708,1.31189
710,1.30806
712,1.29771
714,1.24464
716,1.16416
718,1.13393
720,1.09374
722,1.06492
724,1.08406
726,1.09556
728,1.07762
730,1.11522
732,1.14382
734,1.18207
736,1.20553
738,1.21448
740,1.21862
742,1.22828
744,1.2361
746,1.24004
748,1.24069
750,1.2372
752,1.23351
754,1.23082
756,1.11947
758,0.9397
760,0.76614
762,0.66118
764,0.62384
766,0.83146
768,0.9736
770,1.09909
772,1.16221
774,1.17359
776,1.17478
778,1.17167
780,1.16731
782,1.16346
784,1.15542
786,1.14347
788,1.12941
790,1.11524
792,1.10004
794,1.09418
796,1.09042
798,1.08899
800,1.08382
802,1.08231
804,1.07847
806,1.07334
808,1.06543
810,1.04093
812,0.99027
814,0.93889
816,0.90087
818,0.89129
820,0.87007
822,0.89442
824,0.90627
826,0.90469
828,0.92624
830,0.92471
832,0.93105
834,0.95651
836,0.97618
838,0.99356
840,0.99959
842,1.00555
844,1.00372
846,0.98749
848,0.98103
850,0.96027
852,0.94647
854,0.94708
856,0.95943
858,0.96467
860,0.98862
862,0.97167
864,0.95956
866,0.95313
868,0.94488
870,0.9399
872,0.9527
874,0.95267
876,0.94764
878,0.93842
880,0.93787
882,0.93151
884,0.92529
886,0.92643
888,0.92343
890,0.90646
892,0.87956
894,0.82697
896,0.76492
898,0.70771
900,0.69311
902,0.71139
904,0.71408
906,0.71264
908,0.71266
910,0.66746
912,0.64976
914,0.64602
916,0.66715
918,0.68532
920,0.70328
922,0.71526
924,0.72033
926,0.66019
928,0.57849
930,0.4629
932,0.34307
934,0.25673
936,0.26
938,0.28533
940,0.30416
942,0.33061
944,0.33571
946,0.3132
948,0.32087
950,0.33351
952,0.34503
954,0.34097
956,0.35913
958,0.3914
960,0.41344
962,0.45873
964,0.49425
966,0.54302
968,0.59356
970,0.61794
972,0.63534
974,0.62595
976,0.6142
978,0.62658
980,0.65333
982,0.67872
984,0.70323
986,0.72138
988,0.73735
990,0.74467
992,0.74584
994,0.74527
996,0.74394
998,0.74218
1000,0.73684
1002,0.72636
1004,0.7238
1006,0.71926
1008,0.71693
1010,0.72062
1012,0.71833
1014,0.71511
1016,0.70909
1018,0.7041
1020,0.6993
1022,0.697
1024,0.69521
1026,0.69255
1028,0.69149
1030,0.68796
