light,time,RDB01ic,RDB01ec,RDB01io,RDB01eo,RDB02ic,RDB02ec,RDB02io,RDB02eo,RDB03ic,RDB03ec,RDB03io,RDB03eo,RDB04ic,RDB04ec,RDB04io,RDB04eo,RDB05ec,RDB05ic,RDB05eo,RDB05io,RDB06ec,RDB06ic,RDB06eo,RDB06io,RDB07ec,RDB07ic,RDB07eo,RDB07io,RDB08ec,RDB08ic,RDB08eo,RDB08io,RDB09ec,RDB09ic,RDB09eo,RDB09io,RDB10ic,RDB10ec,RDB10io,RDB10eo,RDB11ic,RDB11ec,RDB11io,RDB11eo
off,0,20.8,20.4,23.1,22.8,21.7,21.3,21,20.7,21.4,20.8,21.1,21,21.1,20.7,22.4,21.8,21,21.1,21.1,21.4,21.1,21.2,21.4,21.7,20.8,21.2,21,21,20.3,20.6,20.4,21.2,20.7,21.2,20.2,19.9,21.4,21.8,21,21.3,21.1,20.8,21.2,21.3
off,20,20.7,20.4,23,22.8,21.7,21.3,20.9,20.7,21.3,20.7,21.1,20.9,21.1,20.7,22.4,21.7,20.9,21.1,21.1,21.4,20.9,21.2,21.4,21.6,20.8,21.1,20.8,21,20.3,20.6,20.4,21.2,20.6,21.1,20.2,20.3,21.4,21.7,21,21.3,20.9,21,21.2,21.1
off,40,20.7,20.4,22.9,22.7,21.6,21.2,20.9,20.7,21.3,20.7,21.1,20.9,21.1,20.7,22.3,21.7,20.9,21.1,21.1,21.4,20.9,21.2,21.2,21.6,20.8,21.1,20.8,21,20.3,20.6,20.4,21.2,20.6,20.9,20.2,20.4,21.4,21.4,21,21.3,20.9,20.7,21.1,20.8
off,60,20.7,20.4,22.9,22.6,21.6,21.2,20.9,20.7,21.3,20.7,21.1,20.9,20.9,20.6,22.3,21.7,20.9,21,21.1,21.3,20.9,21.2,21.2,21.4,20.7,20.9,20.7,21,20.3,20.6,20.4,21.2,20.6,20.9,20.2,20.4,21.4,21.3,21,21.3,20.8,20.6,21,20.7
off,80,20.7,20.4,22.8,22.4,21.6,21.2,20.9,20.7,21.3,20.7,21.1,20.9,20.9,20.6,22.2,21.6,20.9,21,21,21.3,20.9,21.1,21.1,21.4,20.7,20.9,20.7,20.9,20.3,20.5,20.4,21.2,20.5,20.8,20.2,20.4,21.4,21.3,21,21.3,20.8,20.6,20.9,20.7
off,100,20.7,20.3,22.6,22.3,21.5,21.2,20.9,20.7,21.2,20.7,21.1,20.7,20.9,20.6,22.2,21.6,20.9,21,21,21.3,20.9,21.1,21.1,21.4,20.7,20.9,20.6,20.9,20.2,20.5,20.4,21.2,20.5,20.8,20.2,20.3,21.4,21.2,21,21.3,20.7,20.5,20.9,20.6
off,120,20.6,20.3,22.6,22.2,21.5,21,20.9,20.7,21.2,20.7,21.1,20.7,20.9,20.6,22.1,21.6,20.8,21,21,21.2,20.8,21.1,21.1,21.3,20.7,20.9,20.6,20.9,20.2,20.5,20.4,21.2,20.4,20.7,20,20.3,21.4,21.1,21,21.3,20.7,20.5,20.7,20.6
off,140,20.6,20.3,22.5,22.2,21.5,21,20.9,20.7,21.2,20.6,21,20.7,20.9,20.6,22.1,21.5,20.8,21,20.9,21.2,20.8,21.1,21.1,21.3,20.7,20.8,20.6,20.8,20.2,20.5,20.4,21.2,20.4,20.7,20,20.2,21.4,21.1,21,21.3,20.6,20.5,20.7,20.6
off,160,20.6,20.3,22.5,22.1,21.4,21,20.9,20.7,21.2,20.6,21,20.7,20.8,20.6,22.1,21.5,20.8,20.9,20.9,21.2,20.8,21,21,21.3,20.6,20.8,20.6,20.8,20.2,20.5,20.4,21.2,20.4,20.7,19.9,20.2,21.4,20.9,21,21.3,20.6,20.5,20.6,20.5
off,180,20.6,20.3,22.5,22.1,21.4,21,20.9,20.7,21.1,20.6,21,20.7,20.8,20.4,22,21.5,20.8,20.9,20.9,21.2,20.8,21,21,21.3,20.6,20.8,20.5,20.8,20.2,20.5,20.4,21.2,20.3,20.6,19.9,20.1,21.3,20.9,21,21.3,20.6,20.4,20.6,20.5
off,200,20.4,20.3,22.4,22,21.4,21,20.9,20.7,21.1,20.6,21,20.7,20.8,20.4,22,21.4,20.8,20.9,20.9,21.2,20.8,21,21,21.2,20.6,20.8,20.5,20.7,20.2,20.5,20.4,21.1,20.3,20.6,19.9,20.1,21.2,20.8,21.2,21.3,20.5,20.4,20.6,20.5
off,220,20.4,20.2,22.4,22,21.4,21,20.8,20.7,21.1,20.6,21,20.7,20.8,20.4,21.9,21.4,20.8,20.9,20.9,21.1,20.8,21,21,21.2,20.6,20.7,20.5,20.7,20.2,20.5,20.3,21.1,20.3,20.4,19.8,20.1,21.2,20.8,21.2,21.3,20.5,20.4,20.6,20.5
off,240,20.4,20.2,22.3,21.9,21.3,21,20.8,20.6,21.1,20.6,21,20.7,20.8,20.4,21.9,21.4,20.8,20.9,20.9,21.1,20.8,21,20.9,21.2,20.5,20.7,20.5,20.7,20.2,20.5,20.3,21,20.2,20.4,19.8,20.1,21.1,20.7,21.1,21.1,20.5,20.4,20.5,20.4
off,260,20.4,20.2,22.3,21.9,21.3,20.9,20.8,20.6,21.1,20.6,21,20.6,20.8,20.4,21.9,21.2,20.8,20.9,20.8,21.1,20.7,21,20.9,21.1,20.5,20.7,20.5,20.7,20.2,20.5,20.3,21,20.2,20.4,19.8,20,21.1,20.7,21.1,20.9,20.5,20.2,20.5,20.4
off,280,20.4,20.2,22.2,21.8,21.3,20.9,20.8,20.6,20.9,20.6,21,20.6,20.7,20.4,21.7,21.2,20.7,20.9,20.8,21.1,20.7,20.9,20.9,21.1,20.5,20.7,20.5,20.7,20.2,20.5,20.2,21,20.2,20.4,19.8,20,21,20.7,21.1,20.8,20.4,20.2,20.5,20.4
on,300,20.6,20.2,22.2,21.8,21.3,20.9,20.8,20.6,21.1,20.5,21,20.6,20.7,20.4,21.7,21.2,20.9,20.8,20.8,21.2,20.7,20.9,20.9,21.3,20.5,20.6,20.5,20.6,20.2,20.4,20.2,20.9,20.2,20.4,19.7,20,21,20.6,20.9,20.7,20.4,20.2,20.5,20.4
on,320,21,21,22.6,22.3,21.6,21.6,21.2,21.3,21.2,21.8,21.3,22.1,20.8,22,21.9,22.7,22.1,21,20.8,21.7,22.1,21,21.4,21.6,21.8,20.8,21.9,20.7,21.4,20.5,21.3,21,21.5,20.6,21.2,20.3,21,21.9,21.1,22.2,20.5,21.4,20.8,22.2
on,340,21.3,21.6,22.8,23.1,21.8,22.2,21.4,21.9,21.4,22.2,21.7,22.7,21.2,22.4,22.3,23.3,22.5,21.3,22.3,21.9,22.5,21.3,22.3,22,22.4,21,22.3,21.1,21.8,20.8,21.7,21.3,21.9,20.9,21.6,20.7,21.2,22.6,21.4,22.8,20.8,22.3,21.4,22.9
on,360,21.5,21.8,23.1,23.3,22.2,22.5,21.7,22.1,21.7,22.5,21.9,22.9,21.4,22.8,22.6,23.6,22.7,21.6,22.7,22.3,22.7,21.5,22.7,22.3,22.7,21.4,22.6,21.6,22.1,21.1,22,21.5,22.2,21.2,21.9,21.1,21.5,22.9,21.6,23.1,21.2,22.6,21.8,23.2
on,380,21.8,22.1,23.4,23.6,22.3,22.6,21.9,22.4,21.9,22.8,22.2,23.2,21.7,23.1,22.8,23.8,23,21.9,22.9,22.6,22.9,21.8,22.9,22.7,22.9,21.8,22.9,22,22.2,21.3,22.1,21.8,22.4,21.5,22.1,21.3,21.8,23.2,22,23.3,21.6,22.8,22.3,23.5
on,400,22.1,22.2,23.6,23.7,22.6,22.7,22.2,22.5,22.1,22.9,22.4,23.3,22,23.2,23.1,23.9,23.1,22.2,23.1,22.8,23.1,22.1,23.1,22.9,23.1,22.2,23,22.4,22.3,21.6,22.2,22.1,22.6,21.9,22.2,21.7,22,23.3,22.3,23.6,21.8,23.1,22.7,23.7
on,420,22.2,22.4,23.8,23.8,22.8,22.9,22.5,22.6,22.3,23,22.6,23.4,22.3,23.4,23.3,24.1,23.2,22.4,23.2,23.1,23.2,22.3,23.2,23.2,23.2,22.4,23.1,22.7,22.5,21.7,22.2,22.2,22.7,22.2,22.4,22,22.2,23.6,22.6,23.7,22.1,23.2,22.9,24
on,440,22.4,22.6,24,23.9,22.9,23.1,22.7,22.7,22.4,23.1,22.8,23.6,22.5,23.6,23.6,24.2,23.5,22.7,23.4,23.3,23.3,22.6,23.3,23.4,23.3,22.7,23.2,23,22.6,21.9,22.3,22.4,22.9,22.4,22.5,22.3,22.4,23.6,22.8,23.8,22.4,23.3,23.2,24.1
