time,T1,T2,tch,twb
0,22.2,22.3,21.2,18.6
20,21.8,21.8,19.7,18.6
40,21.3,21.4,19.3,18.7
60,21.2,21.2,19.3,18.7
80,21,21,19.2,18.7
100,20.9,20.9,19.2,18.3
120,20.9,20.7,19,18.3
140,20.8,20.7,18.9,18.3
160,20.8,20.6,18.9,18.3
180,20.7,20.6,18.8,18.3
200,20.7,20.6,18.8,18.4
220,20.6,20.5,18.8,18.4
240,20.6,20.5,18.8,18.4
260,20.6,20.5,18.8,18.4
280,20.6,20.5,18.8,18.4
300,20.6,20.5,18.8,18.5
320,20.9,20.7,18.9,18.5
340,21.8,22.2,18.9,18.5
360,22.4,23.1,18.9,18.5
380,22.8,23.7,19,18.5
400,23.1,24.1,19,18.6
420,23.2,24.3,19,18.6
440,23.4,24.4,19,18.6
460,23.5,24.6,19,18.6
480,23.7,24.7,19.1,18.6
500,23.7,24.8,19.1,18.8
520,23.8,25,19.1,18.4
540,23.8,25,19.1,18.4
560,23.9,25,19.1,18.4
580,23.9,25.1,19,18.4
600,23.9,25.1,19,18.4
620,23.5,24.9,19,18.4
640,22.7,23.5,19,18.6
660,22.3,22.6,19,18.3
680,21.8,22.1,19,18.3
700,21.5,21.7,18.8,18.3
720,21.3,21.4,18.8,18.3
740,21.2,21.2,18.8,18.3
760,21.1,21.1,18.8,18.4
780,21,20.9,18.8,18.4
800,20.9,20.9,18.8,18.4
820,20.9,20.8,18.8,18.4
840,20.9,20.8,18.8,18.4
860,20.8,20.7,18.8,18.5
880,20.8,20.7,18.8,18.5
900,20.8,20.7,18.8,18.5
920,20.9,20.9,18.8,18.5
940,21.2,21.3,18.8,18.5
960,21.4,21.7,18.9,18.6
980,21.6,21.9,18.9,18.6
1000,21.7,22.1,18.9,18.6
1020,21.8,22.2,18.9,18.6
1040,21.8,22.3,18.9,18.6
1060,21.9,22.3,19.1,18.7
1080,21.9,22.4,19.1,18.7
1100,22.1,22.4,19.1,18.7
1120,22.1,22.4,19.1,18.7
1140,22.1,22.6,19.1,18.5
1160,22.2,22.6,19.2,18.3
1180,22.2,22.6,19.1,18.4
1200,22.2,22.6,18.9,18.4
1220,22,22.6,18.9,18.4
1240,21.7,21.9,18.9,18.4
1260,21.5,21.6,18.9,18.4
1280,21.2,21.3,18.9,18.6
1300,21.1,21.2,18.9,18.6
1320,21.1,21.1,18.9,18.2
1340,21,20.9,18.9,18.2
1360,20.9,20.9,18.7,18.2
1380,20.9,20.8,18.7,18.2
1400,20.8,20.7,18.7,18.2
1420,20.8,20.7,18.7,18.2
1440,20.7,20.7,18.7,18.2
1460,20.7,20.6,18.7,18.2
1480,20.7,20.6,18.7,18.3
1500,20.7,20.6,18.7,18.3
1520,20.7,20.6,18.7,18.3
1540,20.9,21.2,18.7,18.3
1560,21.2,21.4,18.7,18.3
1580,21.3,21.7,18.7,18.4
1600,21.3,21.8,18.7,18.4
1620,21.4,21.9,18.8,18.4
1640,21.4,21.9,18.8,18.4
1660,21.6,22,18.8,18.4
1680,21.6,22,18.8,18.6
1700,21.6,22,18.8,18.6
1720,21.6,22,18.8,18.2
1740,21.6,22,18.8,18.1
1760,21.6,22,18.7,18.2
1780,21.6,22,18.6,18.2
1800,21.6,22,18.6,18.2
1820,21.4,21.9,18.6,18.2
1840,21,21.4,18.6,18.2
1860,20.9,21,18.6,18.3
1880,20.7,20.8,18.6,18.3
1900,20.6,20.6,18.6,18.3
1920,20.6,20.5,18.6,18.3
1940,20.4,20.5,18.7,18.3
1960,20.4,20.4,18.7,18.4
1980,20.4,20.4,18.7,18.4
2000,20.6,20.6,20.3,18.4
2020,20.8,20.8,21.1,18.4
2040,21,21.1,20.9,18.5
2060,21,21.1,20.9,18.5
2080,21.1,21.2,21.1,18.5
